e	E键开头的符号	每种符号按读音编码或按键盘上的对称位置排布。	
emz			
emzt			⏸##暂停
emzy			˧	꜊	꜏	꜔
en	项目标题分隔	按照读音分布在键盘上。	★	■
ena	箭头项目		➢	➣	➤
enaa			➢
enad			➤
enas			➣
enc	重复々		々##重复
encf			々##重复
end	点		·
enda			•	·
endd			…	∵	∴
endf			∷
ends			‥	¨
enf	方形		■	□	⬜
enfa			□	⬜	▢	◻	◽	🔳
enfc			❎	⊠	▩	▦	⊡
enfd			☑	▣	⊡	◘
enff			❐	❏	❒	❑	▫	◩	◪	◧	◨	◫
enfg			▪
enfh			▤
enfj			⊞	⊟
enfk			□
enfl			❒	❑	❏	❐
enfn			⛶
enfp			▰	▱
enfq			◙
enfs			⬛	◾	▥	◼	🔲
enfu			◙
enfx			▧	▨
enfy			❏	❐
eng	分隔的水平线	相似的线尽量在键盘上靠近。	═══##10个
enga			▬▬##10个黑粗
engb			➰➰##18个大卷
engc			➿➿##9个小卷
engd			………##14个点
engf			﹌﹌﹌##10个双浪
engg			━━━##10个实线
engh			╌╌╌##10个
engi			﹣﹣##10个减号
engj			──##10个
engk			---##10个
engl			══##10个
engm			╳╳##9个╳	₪₪₪##9个回线
engo			××##17个乘号
engp			///##27个除号
engq			⊹⊹⊹##18个
engr			██##10个	▓▓##10个
engs			↑↑↑##10个
engu			﹢﹢##10个加号
engv			❦❦❦##13个心形
engw			⋆⋆⋆##18个五星	⁎⁎⁎##19个六角星
engx			↓↓↓##10个
engy			✦✦##16个
engz			๑๑๑##15个
enh	花形	常用的特殊花色符号，键盘上排是对称的。	❀
enha			۞
enhb			➰##卷曲
enhc			➿##双卷曲
enhd			❖
enhe			꧁༺༽ཊ
enhf			⌘
enhg			🔯
enhh			ʚΐɞ
enhi			ཏ༼༻꧂
enhj			ஐ
enhk			დ
enhl			ღ
enhm			⊱
enhn			₪
enho			༻꧂
enhp			༻
enhq			༺
enhr			꧁༺❀
enhs			✡
enht			꧁༺❀ൢ
enhu			❀༻꧂
enhv			⊰
enhw			꧁༺
enhx			۩
enhy			ൢ❀༻꧂
enhz			๑
enj	加减号		✙	➕	➖
enja			✙
enjd			＋
enje			－
enjf			+
enjg			⊞
enjh			⊕
enjj			⊹
enjk			﹢
enjq			﹣
enjr			‐
enjs			➕
enjt			⊟
enjw			➖
enjy			⊖
enk	框形-隔开线	有规律地分布在键盘上。<br>码表里的符号其实比这里展示的更长。	
enka			╌╌╌
enkb			╚┈┈┈╝
enkc			┗┈┈┈┛
enkd			┈┈┈┈
enke			┏┈┈┈┓
enkf			───
enkg			┈┈┈
enkh			╌╌╌╌
enkj			───
enkk			-----
enkl			═══
enkm			▔▔▔▔
enkn			﹋﹋
enkq			╭╌╌╮
enkr			╔──╗
enks			━━━━
enkt			╔┈┈┈╗
enku			▁▁▁▁
enkv			╚──╝
enkw			╭━━━╮
enkx			╰━━━╯
enky			﹏﹏﹏
enkz			╰╌╌╯
enl	菱形		◆	◇
enla			◇
enlb			◊
enlc			🔷
enld			◈
enlf			✦
enlg			✧
enlh			💠
enli			💠
enlj			❖
enll			⋄
enls			◆
enlv			🔹
enlx			◇	🔸
enlz			🔶
enn	项目符号		▐
enna			➢
ennb			▣
ennc			❎
ennd			✦
enne			✮
ennf			❐
enng			▐
ennh			◆
enni			◉
ennj			◇
ennk			◈
ennl			✧
ennm			△
ennn			▲
enno			◎
ennp			⊙
ennq			★
ennr			⋆
enns			﹣
ennt			✰
ennu			○
ennv			☑
ennw			☆
ennx			□
enny			●
ennz			■
eno			␣
enok			␣
ens	三角形		▲	△
ensa			△
ensc			▼	▽	∇	▾	▿
ensd			◬
ense			▲	△	▴	▵	∆
ensf			►	▶##播放	▷	▸	▹	▻	◮	◭
ensj			△
ensr			◥
enss			◄	◀	◁	◂	◃	◅
ensv			◢	⊿
ensw			◤
ensx			◣
ent	条形		▬
enta			▏
entb			▋
entc			❚
entd			▍
ente			▄
entf			▌
entg			▋
enth			▬
enti			▉
entj			▭
entk			▮
entl			▯
entm			▓
entn			█
ento			▇
entp			∎
entq			▂
entr			▅
ents			▎
entt			▁
entu			▊
entv			▐
entw			▃
entx			❙
enty			▀	▆
entz			❘
enw	五角星		★	☆
enwa			☆
enwd			✭
enwg			✰
enwh			✯
enwj			⭐
enwk			✮
enwl			✪
enwn			✫
enws			★
enwx			☆
enwz			✬
enx	六角星		✡
enxa			✶	⁎
enxb			۞
enxc			✴
enxd			❆	⁂
enxe			❅
enxf			⋆	❉
enxg			✴
enxh			❄
enxi			✻
enxj			❂
enxk			✵
enxl			🔯
enxm			❊
enxn			❇
enxo			✹
enxp			✺
enxq			⌘
enxr			❈
enxs			❃	⁑
enxu			✱
enxv			✳
enxw			✲
enxx			❄
enxy			✸
enxz			✷
eny	圆形		●	○
enya			○
enyb			⚪
enyc			⊗	⊘
enyd			◉	⦿	⊙	🔘	⊜	⚈	⚉	⚆	⚇
enyf			◦	◒	◓	◖	◗	◔	◕
enyg			•
enyh			🔴
enyj			⊕	⊖
enyk			⚫
enyl			🔵
enyo			◯
enyq			⭕
enys			●
enyt			◎	⊚
enyu			⭕
enyx			◌	⊛
enyy			❍
eo	数字序号		.	⑩
eoa			①
eoae			⑬
eoai			⑱
eoao			⑲
eoap			⑩
eoaq			⑪
eoar			⑭
eoat			⑮
eoau			⑰
eoaw			⑫
eoay			⑯
eob			(5)	⑸
eobb			(8)	⑻
eobe			(53)
eobi			(58)
eobo			(59)
eobp			(50)
eobq			(51)
eobr			(54)
eobt			(55)
eobu			(57)
eobw			(52)
eoby			(56)
eoc			(3)	⑶
eoce			(33)
eoci			(38)
eoco			(39)
eocp			(30)
eocq			(31)
eocr			(34)
eoct			(35)
eocu			(37)
eocw			(32)
eocy			(36)
eod			③
eode			㉝
eodi			㊳
eodo			㊴
eodp			㉚
eodq			㉛
eodr			㉞
eodt			㉟
eodu			㊲
eodw			㉜
eody			㊱
eoe			3.	⒊
eoee			33.
eoei			38.
eoeo			39.
eoep			30.
eoeq			31.
eoer			34.
eoet			35.
eoeu			37.
eoew			32.
eoey			36.
eof			④
eofe			㊸
eofi			㊽
eofo			㊾
eofp			㊵
eofq			㊶
eofr			㊹
eoft			㊺
eofu			㊼
eofw			㊷
eofy			㊻
eog			⑤
eogp			㊿
eoh			⑥	❿
eoha			❶
eohd			❸
eohe			⓭
eohf			❹
eohg			❺
eohh			❻
eohi			⓲
eohj			❼
eohk			❽
eohl			❾
eoho			⓳
eohp			⓴
eohq			⓫
eohr			⓮
eohs			❷
eoht			⓯
eohu			⓱
eohw			⓬
eohy			⓰
eoi			8.	⒏
eoie			83.
eoii			88.
eoio			89.
eoip			80.
eoiq			81.
eoir			84.
eoit			85.
eoiu			87.
eoiw			82.
eoiy			86.
eoj			⑦
eojc			🥉
eojx			🥈
eojz			🥇
eok			⑧	㈩
eoka			㈠
eokd			㈢
eokf			㈣
eokg			㈤
eokh			㈥
eokj			㈦
eokk			㈧
eokl			㈨
eoks			㈡
eol			⑨	Ⅹ
eola			Ⅰ
eold			Ⅲ
eole			ⅲ
eolf			Ⅳ
eolg			Ⅴ
eolh			Ⅵ
eoli			ⅷ
eolj			Ⅶ
eolk			Ⅷ
eoll			Ⅸ
eolo			ⅸ
eolp			ⅹ
eolq			ⅰ
eolr			ⅳ
eols			Ⅱ
eolt			ⅴ
eolu			ⅶ
eolw			ⅱ
eolx			Ⅻ
eoly			ⅵ
eolz			Ⅺ
eom			(7)	⑺
eoma			⚀
eomd			⚂
eome			(73)
eomf			⚃
eomg			⚄
eomh			⚅
eomi			(78)
eomm			(10)	⑽
eomo			(79)
eomp			(70)
eomq			(71)
eomr			(74)
eoms			⚁
eomt			(75)
eomu			(77)
eomw			(72)
eomy			(76)
eon			(6)	⑹
eone			(63)
eoni			(68)
eonn			(9)	⑼
eono			(69)
eonp			(60)
eonq			(61)
eonr			(64)
eont			(65)
eonu			(67)
eonw			(62)
eony			(66)
eoo			9.	⒐	⓾
eooa			⓵
eood			⓷
eooe			93.
eoof			⓸
eoog			⓹
eooh			⓺
eooi			98.
eooj			⓻
eook			⓼
eool			⓽
eooo			99.
eoop			90.
eooq			91.
eoor			94.
eoos			⓶
eoot			95.
eoou			97.
eoow			92.
eooy			96.
eop			10.	⒑
eope			03.
eopi			08.
eopo			09.
eopp			00.
eopq			01.
eopr			04.
eopt			05.
eopu			07.
eopw			02.
eopy			06.
eoq			1.	⒈
eoqe			13.	⒔
eoqi			18.	⒙
eoqo			19.	⒚
eoqp			10.	⒑
eoqq			11.	⒒
eoqr			14.	⒕
eoqt			15.	⒖
eoqu			17.	⒘
eoqw			12.	⒓
eoqy			16.	⒗
eor			4.	⒋
eore			43.
eori			48.
eoro			49.
eorp			40.
eorq			41.
eorr			44.
eort			45.
eoru			47.
eorw			42.
eory			46.
eos			②
eose			㉓
eosi			㉘
eoso			㉙
eosp			⑳
eosq			㉑
eosr			㉔
eost			㉕
eosu			㉗
eosw			㉒
eosy			㉖
eot			5.	⒌
eote			53.
eoti			58.
eoto			59.
eotp			50.
eotq			51.
eotr			54.
eott			55.
eotu			57.
eotw			52.
eoty			56.
eou			7.	⒎	㊉
eoua			㊀
eoud			㊂
eoue			73.
eouf			㊃
eoug			㊄
eouh			㊅
eoui			78.
eouj			㊆
eouk			㊇
eoul			㊈
eouo			79.
eoup			70.
eouq			71.
eour			74.
eous			㊁
eout			75.
eouu			77.
eouw			72.
eouy			76.
eov			(4)	⑷
eove			(43)
eovi			(48)
eovo			(49)
eovp			(40)
eovq			(41)
eovr			(44)
eovt			(45)
eovu			(47)
eovw			(42)
eovy			(46)
eow			2.	⒉
eowe			23.
eowi			28.
eowo			29.
eowp			20.	⒛
eowq			21.
eowr			24.
eowt			25.
eowu			27.
eoww			22.
eowy			26.
eox			(2)	⑵
eoxe			(23)
eoxi			(28)
eoxo			(29)
eoxp			(20)	⒇
eoxq			(21)
eoxr			(24)
eoxt			(25)
eoxu			(27)
eoxw			(22)
eoxy			(26)
eoy			6.	⒍	零	拾
eoya			壹
eoyb			佰
eoyd			叁
eoye			63.
eoyf			肆
eoyg			伍
eoyh			陆
eoyi			68.
eoyj			柒
eoyk			捌
eoyl			玖
eoyo			69.
eoyp			60.
eoyq			61.	仟
eoyr			64.
eoys			贰
eoyt			65.
eoyu			67.	仟
eoyw			62.
eoyy			66.
eoyz			零
eoz			(1)	⑴
eoze			(13)	⒀
eozi			(18)	⒅
eozo			(19)	⒆
eozp			(10)	⑽
eozq			(11)	⑾
eozr			(14)	⒁
eozt			(15)	⒂
eozu			(17)	⒄
eozw			(12)	⑿
eozy			(16)	⒃
ep	上下标		⁺
epb			
epbf			㆛
epd			
epdf			㆜
epdu			㆞
epe			
epeg			㆓
epi			⃖	⃮	˿
epio			㆗
epiy			⃡
epj			
epjo			㆙
epp			′
epr			
eprj			㆟
eps	上标	键盘上有规律。	ꜛ
epsa			ª	ᵅ
epsb			ᵇ	ᵝ
epsd			⁼	ᵟ	ᵈ
epse			³	ᵉ
epsf			⁻	ᵠ	ᶲ
epsg			㆔	ᵞ
epsh			⁺
epsi			⁺	⁸	ⁱ	⃖	⃡
epsj			⁻	⁺	ᶴ
epsk			⁽⁾	ᵏ
epsm			ᵐ
epsn			ⁿ	⃔
epso			㆕	⁹	º
epsp			⁰	ᵊ	ᵖ
epsq			¹
epsr			⁴
epss			ᶱ	ꜛ	⃕
epst			⁵	ᵗ
epsu			⁷	ᵘ
epsv			ᵛ
epsw			²
epsx			ᵡ	ꜜ
epsy			㆖	⁶	⃗
epsz			⁸	⃖	⃡
ept			
eptg			㆝
epx	下标	键盘上有规律。	ꜜ
epxa			ₐ
epxd			₌
epxe			₃	ₑ
epxf			₋	㆘
epxh			₊
epxi			₊	₈	ᵢ	⃮	˿
epxj			₋	₊
epxk			₍₎
epxo			₉	ₒ
epxp			₀	ₔ
epxq			₁
epxr			₄	ᵣ
epxt			₅
epxu			₇	ᵤ
epxv			ᵥ
epxw			₂
epxx			ₓ
epxy			₆	⃯
epxz			₊	⃮	˿
epy			⃗	⃯
epyc			㆚
epyd			㆒
epz			⃖	⃮	˿
epzo			㆗
epzy			⃡
eq	钱币-圆圈字母-上下角标		💵##美元	🆗##OK	ⒶⒷⒸⒹ	㊚	㊛	囍
eqa			Ⓐ
eqaa			ⓐ
eqas			₳##阿根廷奥斯特拉尔
eqb			Ⓑ
eqbb			ⓑ
eqbs			₱##菲律宾比索
eqbt			฿##比特币
eqc			Ⓒ
eqcc			ⓒ
eqco			㊖	🆒
eqd			Ⓓ
eqdd			ⓓ
eqdk			🉐
eqdl			₯##希腊德拉克马	＄
eqe			Ⓔ
eqee			ⓔ
eqf			Ⓕ
eqff			ⓕ	¢##分
eqfi			㊣
eqfl			₣##法郎以前在法国使用
eqfr			🆓
eqfz			㊣
eqg			Ⓖ
eqgg			ⓖ
eqgl			₲##巴拉圭瓜拉尼
eqgn			🈹
eqh			Ⓗ
eqhe			🆘
eqhh			ⓗ
eqhj			🈴
eqhl			₴##乌克兰赫里夫尼亚
eqhm			㊋
eqhy			₩##韩元
eqi			Ⓘ
eqia			㊧
eqic			㊑
eqid			㊟	🆔##ID
eqih			㊮
eqii			ⓘ
eqik			🈯
eqil			㊗	zł##波兰兹罗提
eqin			㊪
eqio			㊥
eqj			Ⓙ
eqjc			🈲
eqjf			㊬
eqjg			〒##哈萨克斯坦坚戈
eqjj			ⓙ
eqjp			₭##老挝基普
eqju			㊬
eqjy			㊎
eqk			Ⓚ
eqkf			🉑
eqkk			ⓚ
eqkl			₢##巴西克鲁塞罗	₡##科郎符号（在哥斯达黎加和萨尔瓦多使用）	Sk##斯洛伐克克朗
eqkn			🈳
eql			Ⓛ
eqlb			৲৳##卢比符号(孟加拉地区使用)	₨.##印度卢比	руб##俄罗斯卢布
eqlj			RM##马来西亚令吉
eqll			ⓛ	₤##里拉	Lm##马耳他里拉
eqly			R$##巴西雷亚尔	﷼##伊朗里亚尔
eqm			Ⓜ	＄##美元
eqmc			㊍
eqmd			🈵
eqmk			₰##德国国家马克芬尼的符号
eqmm			ⓜ
eqmt			㊙
eqmw			㊔
eqmy			💵##美元	＄##美元
eqn			Ⓝ	Ⓧ
eqne			🆕
eqng			🆖
eqnl			₦##尼日利亚奈拉
eqnn			ⓝ
eqno			㊚
eqns			㊛
eqo			Ⓞ	€##欧元
eqoi			₠##欧洲货币单位，现在被欧元替代
eqok			🆗##OK
eqoo			ⓞ
eqoy			💶##欧元	€##欧元
eqoz			₠##欧洲货币单位，现在被欧元替代
eqp			Ⓟ
eqpp			ⓟ
eqq			Ⓠ
eqqj			㊭
eqqq			ⓠ
eqr			Ⓡ	¥##日元	￥##人民币
eqre			៛##柬埔寨瑞尔
eqrm			￥	💴##人民币
eqrr			ⓡ	㊐
eqry			¥##日元	円##日元
eqs			Ⓢ
eqsb			🔞
eqsd			㊌
eqsl			㊓
eqso			🆘	🈸
eqss			ⓢ	🔟
eqsy			㊤
eqt			Ⓣ
eqtg			₮##图格里克，蒙古的货币符号
eqth			¤##国际通货符号
eqti			฿##泰铢
eqtt			ⓣ	㊕
eqtu			㊏
eqtz			฿##泰铢
equ			Ⓤ
equj			㊭
equp			🆙
equu			ⓤ
eqv			Ⓥ
eqvs			🆚
eqvv			ⓥ
eqw			Ⓦ
eqwg			🈚
eqwt			🈚
eqww			ⓦ	₥##文（表示千分之一元或十分之一分）
eqx			
eqxf			㊦	㊠	㊯
eqxj			㊡
eqxl			㊢
eqxn			㊫
eqxs			S/.##秘鲁新索尔
eqxt			NT$##新台币
eqxu			囍
eqxx			ⓧ	₪##以色列新谢克尔符号
eqy			Ⓨ
eqya			🈶	㊨	㊒
eqyb			💯##一百	￡##英镑	💷##英镑
eqye			🈺
eqyh			㊰
eqyj			㊝
eqyn			₫##越南盾	Rp##印尼盾
eqys			㊩
eqyv			🈷	㊊
eqyw			㊞
eqyy			ⓨ	₵##元
eqz			Ⓩ
eqza			㊧
eqzc			㊑
eqzd			㊟
eqzh			㊮
eqzl			㊗	zł##波兰兹罗提
eqzn			㊪
eqzo			㊥
eqzz			ⓩ
er	箭头	键盘上很有规律，围绕d键辐射状。	⇒	➯
erb		左手键盘	∃!
erbd			↭
erbf			⇝	↝	⟿	⤳
erbs			⇜	↜	⬳	⬿
erc		左手键盘	↓	∨	⍗	⤈	⍖	⥕	⥙	↡
ercc			⇊	⥥	⥾
erce			⥯	⥿
ercf			↣	⤚	⥼	⤔	⤜	⤕	⤖	⤗	⤘
erci			∃	∃!
ercs			↢	⤙	⥽	⬹	⬺	⬻	⬼	⬽	⤛	⬷
ercv			↳	⤷	⮱	⮡	⮩	➥
ercx			↲	⤶	⮰	⏎	⮠	⮨
ercz			∃	∃!
erd			↔	↕	⇔	≡	:=	⥊	⥋	⥌	⥍	⥎	⥏	⥐	⥑	↮
erdt			↶
erdy			:=	≡	:⇔
ere	向上箭头	左手键盘	↑	∧	⍐	⤉	⮸	⍏	↟
erec			⇅	⥮
eree			⇈	⥣
erer			↱	⮳	⮣	⮫	➦
erew			↰	⮲	⮢	⮪
erf	向右的箭头	左手键盘。	→	➤	➢	➣	⍈	⥅	⥬	⥱	⥲	⥴	⥵	¬	⥭	⥸	⥹	⍆	↠	↛
erff			⇉	⥤
erfr			⤴	⮵	⮥	⮭	⬏
erfs			⇌	⇄	⥂	⥄	⥨	⥩
erfv			⤵	⮷	⮧	⮯	↴	⬎
erg		左手键盘	
ergf			↪	↬
ergr			⤤
ergs			↩	↫
ergv			⤥
ergw			⤣
ergx			⤦
erh		键盘有规律	⇌	∨
erhc			⬇	⏎
erhd			⬌	⬍	≡
erhe			⬆
erhf			⮕
erhq			∧
erhr			⬈
erhs			⬅
erht			⇌	⇛	⇚
erhu			∧
erhv			⬊
erhw			⬉
erhx			⬋
eri			⇥
eric			↧	⥝	⥡
erid			↨
erie			↥	⤒	⥔	⥜	⥘	⥠
erif			⇥	⟾	⤠	↦	⟼	⤇	⟼	⤅	⥓	⥗	⥛	⥟	⤠	⤞
eris			⇤	⟽	⤟	↤	⟻	⤆	⟻	⥒	⥖	⥚	⥞	⤝	⤟	⬴	⬵	⬶	⬾
erj	弓箭➸➷	左手键盘	➳
erjf			➵	➸	➳
erjr			➶	➹
erjv			➴	➷
erk	空心箭头⇨	左手键盘上有规律	
erkc			⇩
erkd			⇔	⬄
erke			⇧	⇪
erkf			⇨
erkr			⬀
erks			⇦
erkv			⬂
erkw			⬁
erkx			⬃
erl	立体	键盘上有规律	➯
erla			➪
erld			➬
erlf			➩	➪	➫	➬	➭	➮	➲	➱
erlg			➭
erlh			➮
erlj			➱
erlk			➲
erll			➩
erls			➫
erm			↻	∀
ermg			∀
ern			↺	⮔
erns			↶	⤺	⤹	⤻	⥀	⟲	⤽	⤿	⮔	↺
ero		左手键盘	⮊
eroc			⮋
eroe			⮉
erof			⮊
eros			⮈
erq		看看键盘。	➠
erqa			➾
erqd			➝
erqe			⥉
erqf			⟴
erqg			➔
erqh			➙
erqi			⤁
erqj			➧
erqk			➨
erql			➜
erqo			➺
erqp			⥈
erqq			➟
erqr			➚
erqs			⬲	⬰
erqu			⤀
erqv			➘
erqw			➻
erqx			დ
erqy			➞
erqz			⥇
err		左手键盘	↗	⤯
errv			⤨	⤭	⤮
errw			⤧	⤱	⤲
errx			⤢
erry			∀
ers	向左的箭头	左手键盘	←	↻	⍇	⥆	⥪	⥫	⥳	⥶	⥷	⥺	⥻	⍅	↞	↚
ersc			⌫
ersd			↯
ersf			⇋	⇆	⥃	⥦	⥧
erss			⇇	↷	⥁	⟳	⤼	⤸	↻	⥢	⬱
ersw			⮴	⮤	⮬	⬑
ersx			⮶	⮦	⮮	⬐
ersy			∀
ert	双线样式⇘⌫	左手键盘	⇒
ertb			⇏	⤃
ertc			⤋	⊃	⟱	⟹	⥰
ertd			⇔	⇎	⇕	⟺	⤄
erte			⤊	⟰
ertf			⇒	⇏	⇛	⟹	⤃	⥰
ertg			⌫
ertr			⇗
erts			⟸	⇍	⇚	⤂
ertv			⇘
ertw			⇖
ertx			⇙
eru		左手键盘	⮏
eruc			⮏
erue			⮍
eruf			⮎	⮓
erus			⮌	⮒
erv		左手键盘	↘	⤰
ervr			⤨	⤭	⤮
ervw			⤡
ervx			⤩
erw		左手键盘	↖	⇱
erwc			↯
erwr			⤧	⤱	⤲
erwv			⤡	☇	☈
erwx			⤪
erx		左手键盘	↙
erxc			⇣
erxe			⇡
erxf			⇢	⤑	⤐	⤏	⤍
erxq			∨
erxr			⤢
erxs			⇠	⬸	⤎	⤌
erxu			∨
erxv			⤩
erxw			⤪
ery		键盘上有规律。	➢
erya			➤
eryc			⮛	⮟
eryd			➣
erye			⮙	⮝
eryf			➣	➤	➢	⮞	⮚
eryh			⊕	⊻	⊃
erym			⊕	⊻
erys			⮘	⮜
erz		左手键盘	⇥
erzc			↥	↨
erze			↧
erzf			⇥	↤
erzs			⇤	↦
es	数学逻辑		～	—
esa			＠	@
esac			≞
esad			＆	≝
esan			＆
esat			＠	@
esb			̅	∶
esbb			∌
esbc			∄	∤
esbd			≠	≭	≯	≱	≹	≵	⋠	⋡
esbe			≁
esbf			⋢	⋣
esbh			∋	≢	⊁
esbi			⊭	⊬
esbj			∪	∁	⋃
esbl			∶	∷
esbp			∦
esbq			∯	⊮
esbs			∶	∉
esbt			∰
esbu			∯	⊮
esbw			°N
esbx			≮	≰	⊀	≸	≴
esby			≉
esbz			⊭	⊬
esc			•	✖	☒	⊗	❎	×	✘
escb			⊋
escc			➗	∣	⋇	∹	⊘	/	÷
escd			⊇
escf			^
esch			➗	⊘	/	✘	✖	☒	⊗	❎	÷
esci			⊥	∃
escj			∖	⊃
esck			❎	☒
escl			∡
escr			⊺
escx			♀##雌性
escy			➗	⊘	÷
escz			⊥	∃
esd			•	√	☑	≍	≚	✔	°
esdb			≩	⋧
esdc			•	℃	⊸	⊌	⊍	⊎
esdd			≥	≝	≐	≑	≒	≓	≔	≕	⊦	⋛	⋝	≧	≳
esde			°E	▽	‥	∶
esdf			℉	∸
esdh			√	✔	☑	⋟
esdi			∔
esdj			°E
esdk			☑
esdl			¶
esdm			≞	≕	≟
esdn			°N
esdp			⋕
esdq			≗	≖	⊷
esds			°S	≜	…	∷
esdu			≗	≖	⊷
esdv			≚
esdw			°W	≟
esdx			≛	≷	⋜	⋞
esdy			＞	≜	•	≗	≚	≗	≛	≖	≟	≞	≝	≐	≑	≒	≓	≔	≕	≘	⊜	⋍	≅	⋗	＝
esdz			∔
ese			
esec			∬
eseh			∼	∽	∾	∿	≀
esem			⊹
esf			′
esfb			⊔
esfc			⊠	⊡	⊅	⊉
esfd			⊡
esff			′
esfh			∕
esfi			⊄	⊈	⊊	⋪	⋬	⋭
esfj			⊞	⊟	⋔
esfm			⊓
esft			⇐	⇍
esfw			-∞
esfx			⊏	⊑	⋤
esfy			⊐	⊒	⋥
esfz			⊄	⊈	⊊	⋪	⋬	⋭
esg			
esgh			√
esgj			≙
esgs			∛	∜
esh			͡	∨	⋀	⋁	⋎	⋏
eshb			⋩
eshc			⏎
eshd			≡	⋈	≽	≿
eshh			＆	⋀	⋁	⋎	⋏
eshm			∇
eshq			⊸
esht			⇔	⇎
eshu			⊸
eshy			⊽	≻	⊱
esi			∝	⊨
esib			∎	∝	⊊	⋋
esid			⊆
esif			±
esii			⋉
esij			∟	⊾	⊂	∅
esiw			+∞
esj			∠	➕	∟	⊾	＋	－
esjd			∠	∟	⊾	⋙	≃
esjf			∫	∮
esjh			➖	∺	≎	＃	－
esji			🚫
esjj			∩	±	≃	≐	≑	⋂	－
esjq			➖	⊲	⊳	⊴	⊵	－
esjr			≜
esjs			➕	≅	≒	≓	＋
esju			➖	≎	－
esjx			⋘
esjy			≬
esjz			🚫
esk			
eskj			∅
eskn			⇋
esl			¶	∶
eslc			∏
eslh			⋀	⋁	⋎	⋏
eslj			✡
eslm			m³
eslp			∆
eslr			¶
eslt			¶
eslx			⋄
esm			＾	″
esmd			≔
esme			mol
esmj			∬
esmm			＾
esmx			⊧
esn			♀##雌性	♂##雄性
esnb			∇	№
esnn			♂##雄性
esns			∳
esnw			°S
esp			π	′
espd			∂
esph			⇋
espm			㎡
espp			′
espw			∂
espx			∥
esq			‰
esqc			⊗	⊘
esqd			≌	⊶	⊜	⊙
esqf			‰
esqh			∑	⊝
esqi			⊩
esqj			∏	∮	⊕	⊖
esqm			∯	∢
esqq			⊚
esqx			∮	∲	∳	⊛
esqz			⊩
esr			
esry			∀
ess			△	▲
essb			⋓
essc			∭	⋑
essd			̇	̈	∷
essh			̅
essi			⋐
essj			△	∬	∭	⊿	▲	⋒
essl			⃑	⃗	⋯	⋰	⋱
esss			§	∱	∲	⋮
esst			θ
essx			⃰
essy			∴	̊	∈
essz			⋐
est			
estc			⇒	⇏
estd			∇
estg			⌫
estj			∭	∰
estw			∻
esu			‰
esuc			⊗	⊘
esud			≌	⊶	⊜	⊙
esuf			‰
esuh			∑	⊝
esui			⊩
esuj			∏	∮	⊕	⊖
esum			∯	∢
esuu			⊚
esux			∮	∲	∳	⊛
esuz			⊩
esv			
esvs			～～
esw			∞
eswb			∎
eswd			≟	∮	∲	∳
eswf			‱
eswq			∞	≣
eswu			∞	≣
esx			／	∗	⊷	≒	≓	∝
esxb			≨	⋦	⋨
esxc			≏
esxd			≤	≶	⋚	≼	≦	≲	≾
esxg			∝
esxj			°W
esxl			⃑	⃗
esxs			∽
esxx			♂##雄性	/	／
esxy			＜	≺	⊰	⋖
esy			∧	⊶
esyb			⋌
esyd			≈	≫	≐	⊙	≊
esyf			⊼
esyg			∝
esyh			⊻
esyi			⋊	⊪	⊫	⊯
esyj			∟	∐
esys			⊸
esyw			∵
esyx			≪
esyz			⋊	⊪	⊫	⊯
esz			∝	⊨
eszb			∎	∝	⊊	⋋
eszd			⊆
eszf			±
eszj			∟	⊾	⊂	∅
eszw			+∞
eszz			⋉
et	钟表-昼夜		🕛
etb	表钟	键盘上有规律。	
etba			🕚
etbd			🕗
etbe			🕒
etbi			🕗
etbo			🕘
etbp			🕙
etbq			🕐
etbr			🕓
etbs			🕛
etbt			🕔	🌇##日出和日落
etbu			🕖
etbw			🕑	🌅##日出和日落
etby			🕕
etd			
etds			⏲️
eth			
ethh			🌆##黄昏
eti			
etic			🌇##日出和日落	🌄##日出和日落
etis			🌇##日出和日落	🌄##日出和日落
etj			
etjd			🕘##九点
etjs			⏱️
etl			
etld			🕑##两点	🕕##六点
etlm			🌇##日出和日落	🌄##日出和日落
etm			
etmb			⏱️
etn			
etnb			⏰
etni			⏰
etnz			⏰
etq			
etqd			🕖##七点
etr			
etrc			🌇##日出和日落	🌄##日出和日落
etrl			🌅##日出和日落
ets			
etsb			⌚##手表
etsd			🕒##三点	🕓##四点	🕙##十点
etse			🕛##十二点
etsl			⌛	⏳
etsy			🕚##十点
ett			
etth			🌃##夜晚晚上	🌉##大桥夜晚
etu			
etud			🕖##七点
etw			
etwd			🕔##五点
etws			🌃##夜晚晚上	🌉##大桥夜晚
etx			❄
etxh			❄
etxk			🌌	🌃##夜晚晚上	🌉##大桥夜晚
ety			
etyd			🕐##一点
etyk			🌌	🌃##夜晚晚上	🌉##大桥夜晚
etyl			🌃##夜晚晚上	🌉##大桥夜晚
etyw			🌃##夜晚晚上	🌉##大桥夜晚
etz			
etzc			🌇##日出和日落	🌄##日出和日落
etzs			🌇##日出和日落	🌄##日出和日落
eu	颜文字	颜文字多是按照读音编码。	(ˊᵕˋ)	୧⍢⃝୨	(•ิ_•ิ)	(′･◡･`)
eua	安慰-哀愁		ᕕ(ᐛ)ᕗ##唉嗨	(¨)	(⊙o⊙)！
euaa			（ˊ⌒ˋ）##啊啊
euac			(´-ι_-｀)##哀愁	(#｀-_ゝ-)
